Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.003806708775023015,-0.5325419799208202,0.8761817821807474,0.014536033111213476,2.44239401723691,0.13465735592318212,0,-1.253851035169859,0.6997053881219112
ENSMUSG00000025900,Rp1,0.003806708775023015,-0.8544700748081828,0.7663049870997585,0.01938137748161797,2.7643221121242725,0.10024733122877284,0,-1.4464961131122545,0.7859820502877095
ENSMUSG00000025902,Sox17,0.05075611700030687,0.4326926019185029,0.6623311396256389,0.009690688740808985,-1.8552865314037765,0.07954708061645425,0.05323286097153542,0.37516664562923374,0.7908088508873764
ENSMUSG00000025903,Lypla1,0.08755430182552935,-0.511783419754023,0.42080873823779036,0.06298947681525839,-0.7160353453675734,0.37837461080260537,0.16265596407969157,0.9858193775984252,0.07580991943900399
ENSMUSG00000033813,Tcea1,0.2829653522767108,-0.05610393597783303,0.961011039186716,0.20350446355698867,-0.5491937429468903,0.4347242065574158,0.34897097748006556,0.3930392146945001,0.5571383575630845
ENSMUSG00000002459,Rgs20,0.013957932175084389,-1.7024669813631323,0.02053375678281724,0.014536033111213476,-0.6868889997080574,0.5716362869487808,0.06801976679696192,2.231575792000384,0.0006614931121999574
ENSMUSG00000033793,Atp6v1h,0.055831728700337556,-0.5001205022284427,0.4826277231772236,0.04845344370404492,-0.383576582988042,0.7094081577238599,0.09759357844781494,0.8596070146134256,0.21359688900936996
ENSMUSG00000025905,Oprk1,0.005075611700030687,0.7893861149665433,0.8687150377957887,0.004845344370404492,1.1204659223495463,0.6796043193071016,0,-1.0314586138334105,0.9058607888537415
ENSMUSG00000033774,Npbwr1,0.0025378058500153435,-2.269507574087026,0.0916833400071444,0,-1.142568483484247,0.5600382929547622,0.02661643048576771,3.290469481053951,0.0032059727923062793
ENSMUSG00000025907,Rb1cc1,0.08628539890052168,-0.46841164250110445,0.4704443317671331,0.05329878807444941,-0.9151579873811748,0.2584881810420646,0.15969858291460626,1.0129355055250433,0.06044489989855208
ENSMUSG00000033740,St18,0.005075611700030687,-1.3805388864757697,0.43915469345310015,0.02422672185202246,2.027356517958065,0.16260436569909936,0.008872143495255903,0.2315757920003838,0.9912489163169153
ENSMUSG00000051285,Pcmtd1,0.11039455447566744,0.04424658935463599,1,0.043608099333640425,-1.3337099708362548,0.1070851956409015,0.14491167708917976,0.597447234475343,0.44468715161389405
ENSMUSG00000025909,Sntg1,0.0025378058500153435,-0.5325419799208193,0.8722338005480877,0.009690688740808985,2.44239401723691,0.26156334062308784,0,-0.7684242079996171,1
ENSMUSG00000061024,Rrs1,0.11039455447566744,0.4033276826594645,0.580362970685711,0.08721619866728085,-0.15516852026387973,0.946530777623893,0.07984929145730313,-0.36706164561784904,0.7789103553540108
ENSMUSG00000025911,Adhfe1,0.025378058500153435,0.6898504414156283,0.6329478727029175,0.029072066222426952,0.7261869832375005,0.5388811735047763,0.005914762330170602,-1.6164211145545657,0.2929791493126257
ENSMUSG00000067879,Vxn,0.003806708775023015,-2.232981698061912,0.08411337302656029,0.058144132444853905,4.1428337353780025,0.0004301533796189991,0,-2.4464961131122545,0.2833044534730175
ENSMUSG00000025912,Mybl1,0.010151223400061374,-1.5325419799208193,0.23769189419317224,0.033917410592831446,1.1944665037933238,0.2762686927854104,0.029573811650853012,1.0129355055250429,0.5207570056533795
ENSMUSG00000045210,Vcpip1,0.06852075795041428,-0.47910272095935946,0.5148195468129316,0.10175223177849434,0.47556088117210926,0.49802918067480006,0.09167881611764434,0.30557637344416033,0.8027011161157104
ENSMUSG00000025915,Sgk3,0.10278113692562141,0.07012252253379536,1,0.07752550992647188,-0.3649609048206943,0.8459379020778468,0.10942310310815614,0.1867215562161233,0.9227492836557729
ENSMUSG00000046101,Mcmdc2,0.008882320475053702,-0.5325419799208202,0.7772815451549052,0.029072066222426952,2.0798239378522014,0.12312776909908359,0.002957381165085301,-1.2538510351698582,0.6935928937931548
ENSMUSG00000099032,Tcf24,0.003806708775023015,-0.8544700748081828,0.773345809813731,0.014536033111213476,2.1204659223495463,0.2344472460885063,0.002957381165085301,-0.2538510351698582,1
