FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value
ENSMUSG00000027737,Slc7a11,2.336461085070916,2.3887011091881485,3.3856797418368e-22,0.2668098481805058,-1.6130953870701057,2.671296844044099e-07,0.5755757559679593,-0.3514452015200292,0.690676259509029,1.3850191983682179,0.9893344785651478,0.12704652971683972,1.0163943970998768,0.6438596916687188,0.0661281957014942,0.13469829194446903,-2.4987391661457927,5.73138906663921e-09,0.17543399276584226,-2.103418784232936,5.727177287673285e-06,0.10161181030999206,-2.81762705588963,1.613254634410878e-06
ENSMUSG00000019987,Arg1,71.029064205293,2.2301956381520394,3.3856797418368e-22,6.896500955769714,-1.969985293253195,2.7951857907740047e-13,17.552701639990104,-0.454543315496557,0.3805463121270748,28.664950909085082,0.30413390669313856,0.679112626210379,45.319929764564186,1.265201033256556,8.19330421114754e-07,1.874230519341612,-3.7697147272439286,1.0151753329163266e-21,5.292258781769575,-2.237296969443589,4.230027851809755e-09,2.169711008383948,-3.4984118003274336,5.6768285184390705e-12
ENSMUSG00000039753,Fbxl5,37.01446245296557,2.188549452782071,1.1384011893529162e-21,5.1206146062802675,-1.4434868668405971,8.211687571490832e-08,10.030115222851489,-0.3260193836234606,0.6449680340109094,21.22047271785591,0.8004225854798186,0.16338950511595116,18.277319653970963,0.7317895794485669,0.014397431220529765,2.436114822881397,-2.4554873213900867,1.6961818320459364e-11,4.239654825174521,-1.621736087232443,2.483794352165771e-05,2.1517795124468906,-2.584993315225635,1.0679120873119912e-07
ENSMUSG00000043421,Hilpda,2.6244736010976637,2.3037773894072835,2.6698185661541424e-21,0.31803733903116294,-1.5726114974763084,2.9766001603888203e-07,0.6109595114577929,-0.5023306486541367,0.39718679961044184,1.7312739979602723,1.0958459425754346,0.07859830351925326,1.1704833435989836,0.6295459883795409,0.07005134412308162,0.1693349955873325,-2.3885266998072443,1.0082549788886286e-08,0.25061998966548893,-1.8042746500685727,6.999938016420477e-05,0.2988582656176237,-1.5053545432971465,0.007429653767110992
ENSMUSG00000047810,Ccdc88b,2.8412920120391476,2.275308794381112,2.6698185661541424e-21,0.3820717025944843,-1.427547484068022,2.3899505679653007e-06,0.6864448565027712,-0.4590344871349528,0.46182304635017696,1.558146598164245,0.8055587471242378,0.20187509844251347,1.380874020549687,0.7680656534477287,0.013738062777805869,0.13469829194446903,-2.850513376743304,1.6961818320459364e-11,0.32998298639289375,-1.5336051769537782,0.0006288304099834383,0.12552047155940194,-2.8734125266475177,3.4718934313271225e-07
ENSMUSG00000046245,Pilra,3.1713737719799138,2.285259140755935,1.2559513566149971e-20,0.3479200420273796,-1.739966273306208,1.9182642339237263e-08,0.7902372059396163,-0.4007320421133875,0.5961200187664791,2.2259237116632073,1.1738335179744945,0.06230031273189845,1.6090441913272104,0.8564376784137353,0.005869616400031699,0.11545567880954488,-3.2249398138177994,5.43291352232352e-13,0.29656698777082857,-1.8497196290156606,5.151111802397966e-05,0.14942913280881184,-2.784190230876653,1.2054520781316647e-06
ENSMUSG00000015950,Ncf1,22.565295216342797,2.1079132574873234,8.399162943645692e-20,3.1910457842388493,-1.4601540413040646,7.633875222543972e-08,6.4870218398028205,-0.28060411635951965,0.7294686711972876,18.153644492897712,1.2592381145473164,0.028292551267958932,12.460461923629685,0.881320550780369,0.001880273830404504,0.881311681579526,-3.2661818021674884,3.546736822919959e-17,2.2472259073338843,-1.8783889718469304,2.6253602803013834e-06,0.9623236152887483,-3.0798604236818306,1.1073651442228382e-09
ENSMUSG00000074570,Cass4,2.1164065784437387,2.2213399883054397,2.955042660988831e-19,0.28388567846405816,-1.4627137135096233,3.2244310545929694e-06,0.5732168389353037,-0.3002888294168906,0.7645441814094264,1.558146598164245,1.214198475204931,0.05248278941739804,1.0489901357823803,0.765595785748686,0.017986691733116577,0.11930420143652971,-2.622319929047194,1.486324396287969e-09,0.18378799242135854,-1.9854669071426558,1.8200562839219213e-05,0.05379448781117226,-3.6236143448166636,9.174651153784596e-09
ENSMUSG00000017737,Mmp9,28.354670398048984,2.0523692343536073,8.794532107210048e-19,4.350067764734967,-1.3676306865124666,4.929989482843649e-07,9.154957003736271,-0.11907073066338558,0.957378465931677,19.266606348729315,0.9711195876257044,0.0933020911585134,16.00450769310914,0.8792975613030101,0.001897680355141169,0.9005542947144501,-3.6017608179165235,6.356469032162583e-20,2.9531388782250114,-1.8464774767012813,3.6704099589874176e-06,0.9862322765381581,-3.41004181877678,2.6942207950094718e-11
ENSMUSG00000045763,Basp1,17.69497120937364,2.0148559615771524,2.9814363201700297e-18,2.6958467060158307,-1.4032874487627207,1.9372874436880018e-07,5.286333070181135,-0.28091262975773734,0.7241063840684961,13.899656955052473,1.165636050711,0.042173552763202796,10.513607349592895,0.9478614256597719,0.0005624391082620563,0.9428880436112832,-2.8680886767714915,2.3245544228471782e-14,1.8712959228356507,-1.8460154048677466,3.2995423640579297e-06,0.9025519621652235,-2.8747841271699928,7.388213481539893e-09
ENSMUSG00000024399,Ltb,2.1617119180434514,2.1611058672824472,3.24684281661277e-18,0.3009615087476106,-1.442603133250398,4.220211922710665e-06,0.5850114240985816,-0.3430648227912788,0.6980245636109135,1.187159312887044,0.7468281348584542,0.24607525198436736,1.1734465925701203,0.8918296315750384,0.0037536484207311266,0.15009238245240836,-2.3597083698464956,2.564565458206636e-08,0.2130269912156656,-1.8376343164103346,7.433395874201187e-05,0.06574881843587721,-3.4245043330392266,2.6737123739348904e-08
ENSMUSG00000026581,Sell,7.653366296665813,2.0174343413937557,9.162326568256616e-18,1.1526185441397852,-1.4185714236812053,4.761259192718777e-07,2.6136800721823725,-0.045453277658471514,1,4.847567194288763,0.8495698510948213,0.1486748158244654,4.4389469587627275,0.9037220058324116,0.001505450153410332,0.23091135761908976,-3.6804867381131494,4.658265046680935e-19,0.8729929640014531,-1.7279897892187535,2.5841718819188585e-05,0.24506377780645142,-3.525730617863579,4.639130687396854e-11
ENSMUSG00000029915,Clec5a,2.7765700983252715,2.1098095724238464,1.1236673048509398e-17,0.33724764810015934,-1.6905522051240682,3.2970154586379674e-08,0.7619302015477495,-0.35599041100066103,0.670615371848518,2.7947708824215827,1.6098796090922085,0.007215911103786629,1.576448452644707,0.9374872741672886,0.0015935312518974062,0.11930420143652971,-3.0867235056470177,1.8107884178741091e-12,0.2923899879430704,-1.777098759631783,8.524073099006196e-05,0.09563464499763957,-3.31190281448616,2.087196381175414e-08
ENSMUSG00000002885,Adgre5,8.543292610231605,2.007768100917911,1.3221175042694923e-17,1.4535800528873957,-1.231048765949562,1.64672581312646e-05,2.7056778364559397,-0.1847784635153531,0.8928888945332631,5.416414365047138,0.844193597194006,0.15181019228089046,4.800463333241401,0.8353764814244733,0.004223425617930967,0.39639783057943745,-3.067573956788122,5.7010664981965236e-15,1.0066569584897138,-1.6864094971647323,4.0900219063595177e-05,0.5558763740487801,-2.5178258148263657,5.799301593445648e-07
ENSMUSG00000037946,Fgd3,4.287826783544271,2.025409235452878,1.3272717927318708e-17,0.6937056052693151,-1.2978505779870313,8.091842115840891e-06,1.3115578701564974,-0.23124115677424945,0.8536413010490216,3.833535281197746,1.373660664468911,0.01861968673209677,2.349856434111377,0.802610105207757,0.006551349808222286,0.19627465397622632,-3.0627874509799935,5.738719923436788e-14,0.5095939789864942,-1.6569794398202458,9.302614209237403e-05,0.19724645530763163,-2.985819090107487,2.5623827911117213e-08
ENSMUSG00000023349,Clec4n,2.381766424670629,2.0755091448391507,1.7659451657961707e-17,0.37993722380904027,-1.283931284451644,2.9690305517547776e-05,0.7430588652865049,-0.1593583604267546,0.9440229177941614,1.1376943415167504,0.4893150198138533,0.421945263691607,1.3038295473001336,0.8408483567632303,0.00569712229263617,0.13469829194446903,-2.7096508409034543,1.429003956070019e-10,0.2380889901822145,-1.8713430857917457,2.8198870863912528e-05,0.12552047155940194,-2.7335895569946245,1.26016933779697e-06
ENSMUSG00000030657,Xylt1,2.00637932513015,2.107132183822928,1.7659451657961707e-17,0.3009615087476106,-1.3593280889634918,1.5289781056644683e-05,0.6345486817843486,-0.11219286849991339,0.9776739389913319,1.3355542269979244,0.9975237136124805,0.1162742687755269,1.025284144013287,0.7363912063130013,0.024802642941404985,0.1423953371984387,-2.3579595306037233,2.555866525549694e-08,0.13784099431601893,-2.389857162221991,2.806040451395782e-07,0.11954330624704948,-2.532233052058662,1.002255457306832e-05
ENSMUSG00000030083,Abtb1,4.2231048698303955,2.0112990103030666,2.760771071034345e-17,0.687302168912983,-1.297821153786355,8.845965229932988e-06,1.3422237915810198,-0.17514668215409135,0.9215698686349867,3.1904906533839306,1.1128780072440843,0.06214327556067834,1.9883400596327037,0.5116937561081949,0.15706902754326146,0.47336828311913404,-1.763423995481277,3.2732909604552017e-06,0.5680719765751082,-1.481277706815005,0.0005670018475114346,0.4423102331140831,-1.8129085069871,0.0004412916076508368
ENSMUSG00000035105,Egln3,10.48495002164788,1.9440715108207465,9.550915753912468e-17,1.4514455741019516,-1.6009867054979146,7.408472288411685e-09,3.295407094619833,-0.24506893927136786,0.797238790829071,7.766000505136079,1.0342012951327637,0.07562511672312472,6.412470773539748,0.9457010432956123,0.0006589692992922012,1.0275555414049495,-2.0126008878369896,3.507510076700602e-08,1.3867639428157055,-1.55543284446893,0.0001439683145372066,0.6574881843587721,-2.6137409566910206,1.5342394330370355e-07
ENSMUSG00000003153,Slc2a3,4.572603203885325,1.9919893248362923,1.1612713437164386e-16,0.640343635633214,-1.5484740261148877,1.0606406639546504e-07,1.5851922459445438,-0.03736983496909119,1,4.328184994900681,1.4376924518744212,0.014376547307320494,2.652107829167317,0.8834391393968175,0.002328779289302628,0.13854681457145387,-3.6745386887222837,1.9935966412916117e-17,0.4928859796754616,-1.8234730486816626,1.8801585667433816e-05,0.14942913280881184,-3.4901856168501753,5.178473578758397e-10
ENSMUSG00000075122,Cd80,1.32356313544876,2.1411517675169027,1.1612713437164386e-16,0.16222038769374753,-1.6478864711658106,7.238059990539573e-07,0.3750678081922358,-0.27576619050110796,0.8323059509238764,1.459216655423658,1.7790703938109356,0.003949695147479478,0.7408122427841668,0.936206488621562,0.0032152414562918153,0.03463670364286347,-3.686792898758382,1.3017339996262675e-12,0.10024799586619558,-2.2101843814253472,9.872046818372636e-06,0.01793149593705742,-4.319748487673132,4.930118549653297e-09
ENSMUSG00000022237,Ankrd33b,2.2652669799856526,2.0085484167097016,3.2263852354234333e-16,0.4631818964413581,-0.9288238342843225,0.004209625411661145,0.7029572757313601,-0.21705248670346322,0.8828723897265914,1.3355542269979244,0.7554569218202472,0.23090978418622352,1.0460268868112435,0.4758099114470483,0.23287543161382984,0.06927340728572694,-3.613032650734834,5.48178127427911e-15,0.5430099776085594,-0.600836361782712,0.30870676378546563,0.10758897562234453,-2.915263196525063,3.7469332526245307e-07
ENSMUSG00000044103,Il1f9,9.870091841366058,1.9102246819307023,3.7005825279151355e-16,1.6670279314318004,-1.309751744130162,2.825075740819734e-06,3.1845379940850207,-0.22496993078659844,0.8345922930122549,6.9003635061559425,0.9265424408507172,0.11265976904632605,5.573871314708072,0.7660715574591481,0.009861078740177968,1.712592569008249,-1.1764144999669979,0.0014787936686620556,1.0526039565950536,-1.897682123009229,2.305537422040662e-06,0.5080590515499602,-2.9193777937391148,8.075867529627834e-09
ENSMUSG00000027508,Pag1,1.741019478903259,2.0247205266691655,4.4268952180310636e-16,0.29242359360583436,-1.233367400397135,9.989934087880316e-05,0.5142439131189145,-0.2891094856926404,0.7819319686753708,1.0140319130910167,0.7553579342020472,0.24669599858082855,0.9067541851678202,0.7082906911067202,0.033387046395478466,0.13469829194446903,-2.2789815218960845,7.335720266114113e-08,0.24226599000997265,-1.4086649685005406,0.0027254930432024397,0.19126928999527915,-1.7099910450428655,0.0025014173285027087
ENSMUSG00000049130,C5ar1,8.048169970320455,1.9069844596406262,4.892364836819949e-16,1.5773798224431503,-1.0725172941534553,0.00020499487486790147,2.9958246314725754,0.023665174482359275,1,4.847567194288763,0.704472113739909,0.22750180598178468,4.690823121309345,0.8230476888355092,0.0047247592025542445,0.2886391970238622,-3.5019443136997115,3.390706222298824e-18,0.9398249612455836,-1.7638657844681151,1.3796587855890212e-05,0.3466755881164435,-3.1731937475365757,9.334289982947978e-10
ENSMUSG00000026981,Il1rn,41.774759206621134,1.8863750732378959,5.36009973093263e-16,7.558189379257368,-1.2173475959275417,8.133395804114756e-06,13.778434387741191,-0.2053251532698055,0.8574400073336017,32.94367093261547,1.0875017824538764,0.08981825122656516,25.036490557133703,0.8586632562939371,0.00239223507927892,4.745228399072294,-1.8335307152078961,1.2226174626699256e-07,4.319017821901926,-1.9633355350436714,2.418692009287921e-07,2.372934629003932,-2.803820011562581,1.0991659659930545e-08
ENSMUSG00000050914,Ankrd37,2.4497244340701987,1.9765003828273753,7.401747715639446e-16,0.3287097329583831,-1.6218790423930045,8.287367820670239e-08,0.7595712845150938,-0.24219940302366,0.848370692981844,2.176458740292914,1.3394154024845633,0.028740870964084467,1.5349629670487936,1.0207795390537848,0.0003741931406617049,0.16163795033336284,-2.550485908919788,8.71480087235855e-10,0.24226599000997265,-1.94957798927648,1.2617597536580435e-05,0.12552047155940194,-2.8352515316539266,5.336958916880397e-07
ENSMUSG00000047798,Cd300lf,11.598166937526543,1.8378038105695311,3.834002222045578e-15,1.9829307916775192,-1.3410105490513895,7.215461881481359e-07,4.512608283470107,0.04846220383757993,0.9970226279507726,7.370280734173731,0.7367786720944971,0.20105909007787695,7.775565300262615,1.0345657274729454,0.0001145782745024645,0.39639783057943745,-3.6213584528097487,9.215437274968601e-20,1.374232943332431,-1.7891908833888177,7.429709157544294e-06,0.4303559024893781,-3.4387839114655256,2.738647647206356e-11
