"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem28",2.51444085583327e-07,2.99081307915361,0.052,0.006,0.0043268498247179
"Clec1b",0.00427261946085764,2.94641895979516,0.016,0.002,1
"Mab21l1",0.000534681874101505,2.79441586635011,0.026,0.004,1
"Retnla",4.10695149656552e-31,2.67170274891373,0.427,0.112,7.06724213528995e-27
"Olfr1098",0.0147185110154485,2.53138146051631,0.016,0.003,1
"Ighg2c",0.0147185110154485,2.53138146051631,0.016,0.003,1
"Bmp15",0.0466204433419167,2.53138146051631,0.01,0.002,1
"1700010I14Rik",0.299613243170568,2.26834705468252,0.01,0.005,1
"1700029H14Rik",0.0355882881141145,2.20945336562895,0.016,0.004,1
"Cd209f",2.40512911583844e-37,2.18300426530655,0.677,0.27,4.13874618253478e-33
"Gm9758",0.110919781523707,2.11634396123747,0.01,0.003,1
"Stk32b",0.110919781523707,2.11634396123747,0.01,0.003,1
"Gfi1b",0.023859287953276,2.04595463334607,0.021,0.005,1
"Vwc2",0.00056041766602376,2.02888111998713,0.052,0.014,1
"Pla2g3",0.00386454954337587,1.94641895979516,0.042,0.013,1
"D130040H23Rik",0.015431516989849,1.94641895979516,0.026,0.007,1
"Lhcgr",0.015431516989849,1.94641895979516,0.026,0.007,1
"Cd79a",0.0688832740218039,1.94641895979516,0.016,0.005,1
"Prtg",0.0688832740218039,1.94641895979516,0.016,0.005,1
"Fignl2",0.0407256690479857,1.87930476393662,0.026,0.009,1
"Enpep",0.000151060461180138,1.83094174237522,0.073,0.023,1
"Ano3",0.0262041515614261,1.79441586635011,0.026,0.008,1
"Crispld1",0.198573946140402,1.79441586635011,0.01,0.004,1
"Olfr418",0.198573946140402,1.79441586635011,0.01,0.004,1
"A930002H24Rik",0.000928698868036922,1.73783233798374,0.062,0.021,1
"D430019H16Rik",0.114854583986213,1.72402653845871,0.016,0.005,1
"Apol9a",0.114854583986213,1.72402653845871,0.016,0.005,1
"Cyp2ab1",0.409954628232494,1.72402653845871,0.01,0.005,1
"Htra4",0.0683063974449212,1.68338455396136,0.021,0.007,1
"Ptx3",4.23484766547953e-42,1.67925371351316,0.885,0.532,7.28732586275718e-38
"Cxcl13",0.000264985943441836,1.67340046538874,0.135,0.064,1
"Lmx1a",0.0252137055316095,1.63829666443282,0.031,0.011,1
"Rtl3",0.0155069391276306,1.62449086490779,0.036,0.013,1
"Npr1",7.84384432044176e-07,1.62157926948789,0.219,0.101,0.0134976873066162
"Apln",0.000145940333963259,1.61384362070828,0.083,0.028,1
"Cdiptos",0.00860831018855108,1.59849565637485,0.047,0.017,1
"Cfap69",0.0168038394729823,1.53138146051631,0.047,0.019,1
"Plekhs1",0.101786470176472,1.53138146051631,0.021,0.008,1
"Eda",0.101786470176472,1.53138146051631,0.021,0.008,1
"Prkg2",0.0320530613833271,1.53138146051631,0.036,0.014,1
"Cyp46a1",0.0612013955729905,1.53138146051631,0.026,0.01,1
"Itga10",0.17243199540618,1.53138146051631,0.016,0.006,1
"Klk1b4",0.17243199540618,1.53138146051631,0.016,0.006,1
"Serpini2",0.301530446343544,1.53138146051631,0.01,0.005,1
"Cyp2u1",0.301530446343544,1.53138146051631,0.01,0.005,1
"Gbp2b",0.301530446343544,1.53138146051631,0.01,0.005,1
"1700008O03Rik",0.301530446343544,1.53138146051631,0.01,0.005,1
"Otud7a",0.301530446343544,1.53138146051631,0.01,0.005,1
"Abca13",0.301530446343544,1.53138146051631,0.01,0.005,1
"Tmem151b",0.301530446343544,1.53138146051631,0.01,0.005,1
"Fxyd2",0.00089436830473684,1.5109173579566,0.125,0.06,1
"Hapln4",0.00212474101545965,1.47693367649394,0.062,0.023,1
"Tdrkh",0.0323901446498905,1.44391861926597,0.036,0.014,1
"Prdm8",0.0323901446498905,1.44391861926597,0.036,0.014,1
"Scara3",5.2352881038085e-09,1.44237645445757,0.339,0.173,9.00888376903367e-05
"Steap2",5.12484654058503e-07,1.43945897107527,0.255,0.125,0.00881883592703871
"Ccl24",3.9426428698347e-06,1.43377066388989,0.182,0.079,0.0678449985041155
"Cd248",7.91529698270785e-21,1.42602846037008,0.693,0.451,1.36206430478437e-16
"Ptgis",9.26909494119597e-09,1.42057467463038,0.344,0.175,0.0001595025857481
"Catip",0.0862810658678737,1.41590424309638,0.026,0.011,1
"Naa20",0.0862810658678737,1.41590424309638,0.026,0.011,1
"Pilrb2",2.02972646709502e-05,1.4110872267986,0.115,0.041,0.349275330457711
"Fcna",9.99570920507217e-06,1.40132091995194,0.182,0.082,0.172006164000882
"Timd4",0.142749113567708,1.39387793676638,0.021,0.009,1
"Adgrd1",1.26289969744637e-11,1.37973375444611,0.505,0.302,2.17319779936571e-07
"4930562C15Rik",0.173078470500003,1.361456459074,0.016,0.006,1
