"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Wfdc12",4.24414448586971e-62,3.70794471110524,0.715,0.173,7.32199806702242e-58
"Nat8f7",8.66995921893264e-18,3.28459194361439,0.139,0.015,1.49574136445026e-13
"Ctsk",2.36416103028999e-82,3.17592238696502,1,0.468,4.07865060945629e-78
"Itgbl1",1.07971163322151e-32,2.99139556727034,0.336,0.052,1.86271850963374e-28
"Gpnmb",1.42108508798591e-45,2.94830855574996,0.562,0.118,2.4516559937933e-41
"Lum",9.42069933173508e-77,2.89726137350539,0.927,0.289,1.62525904871094e-72
"Chrna7",1.35796053770763e-05,2.86955444433555,0.051,0.008,0.234275351965321
"Cd209d",1.93535512840191e-27,2.85882803774249,0.314,0.055,3.33887466751897e-23
"C1qtnf3",2.63127269790512e-08,2.79916511644415,0.088,0.015,0.000453947165842591
"Pla2g2e",2.71512701454535e-29,2.77152236137502,0.387,0.079,4.68413712549364e-25
"Myo16",7.82513370455862e-14,2.77001877078463,0.161,0.028,1.34999206671045e-09
"Cemip",7.60322969759436e-08,2.77001877078463,0.102,0.022,0.00131170918742898
"Ltbp1",5.25167076035552e-30,2.71060056071424,0.387,0.078,9.06018239576534e-26
"C7",6.73700171304214e-48,2.70880108879148,0.701,0.196,1.16226753553403e-43
"Cpz",7.06713617678857e-07,2.69962944289323,0.066,0.01,0.0121922233321956
"Cd72",6.58369952201534e-08,2.68314132010466,0.124,0.031,0.00113581984153809
"Grem1",1.24050171333602e-18,2.64073575383966,0.234,0.044,2.1401135558473e-14
"Adra1a",0.00126560565127067,2.6325152470347,0.036,0.007,1
"Zfpm2",0.00194491072296074,2.60652003850175,0.029,0.005,1
"Cd209b",8.1867143260269e-13,2.59870053404245,0.146,0.025,1.41237195552616e-08
"Masp1",8.55661232957207e-32,2.57971997915804,0.423,0.088,1.47618675909777e-27
"Cpxm1",5.95371203427316e-75,2.56640355647881,1,0.596,1.0271344001528e-70
"Mmp2",9.76766271876746e-65,2.55663465506789,0.949,0.44,1.68511717224176e-60
"Sectm1b",4.61989765441497e-07,2.54762634944818,0.095,0.021,0.00797024743339671
"Slc6a7",4.16255452437845e-13,2.53735801399436,0.168,0.033,7.18123906545771e-09
"Mfap4",4.97884263557546e-10,2.53613071061035,0.139,0.03,8.58949931489478e-06
"Sectm1a",2.42536729420012e-25,2.53457019662274,0.328,0.065,4.18424365595404e-21
"a",6.54122671740802e-16,2.53251945705798,0.219,0.046,1.12849243328723e-11
