"","10844-AB-0011","10844-AB-0001","10844-AB-0010","10844-AB-0005","10844-AB-0003","10844-AB-0007"
"ENSMUSG00000000001",11110,8856,8222,6354,7332,8742
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",1444,1054,966,890,766,898
"ENSMUSG00000000031",0,0,0,0,0,0
"ENSMUSG00000000037",0,3,0,3,5,0
"ENSMUSG00000000049",0,0,0,0,0,1
"ENSMUSG00000000056",930,826,715,988,1174,1435
"ENSMUSG00000000058",2841,2430,2116,2392,2893,3460
"ENSMUSG00000000078",10688,10303,8476,5604,5986,6740
"ENSMUSG00000000085",677,605,602,574,594,811
"ENSMUSG00000000088",4944,3748,3615,4680,5065,6226
"ENSMUSG00000000093",4,0,13,6,7,6
"ENSMUSG00000000094",0,0,0,1,0,2
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",0,0,0,0,0,0
"ENSMUSG00000000125",0,0,0,6,2,5
"ENSMUSG00000000126",141,85,88,78,73,125
"ENSMUSG00000000127",948,783,676,793,837,994
"ENSMUSG00000000131",5784,4620,4640,3352,2956,3613
"ENSMUSG00000000134",3033,2178,2254,3083,2991,3936
"ENSMUSG00000000142",0,0,0,2,1,1
"ENSMUSG00000000148",1188,858,969,981,1069,1263
"ENSMUSG00000000149",3773,2971,2775,3307,3100,3782
"ENSMUSG00000000154",208,151,142,166,147,160
"ENSMUSG00000000157",0,0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0,0
"ENSMUSG00000000167",106,63,78,89,66,110
"ENSMUSG00000000168",6103,5403,4548,2839,2259,2752
"ENSMUSG00000000171",6593,5532,5041,6945,6676,8208
"ENSMUSG00000000182",0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,1
"ENSMUSG00000000184",18620,16284,14120,14075,16277,19119
"ENSMUSG00000000194",2891,2383,2203,2888,2873,3701
"ENSMUSG00000000197",0,0,0,0,0,0
"ENSMUSG00000000202",74,76,93,20,8,10
"ENSMUSG00000000204",1,2,2,21,23,46
"ENSMUSG00000000214",0,0,0,0,0,0
"ENSMUSG00000000215",7,2,2,4,3,8
"ENSMUSG00000000216",0,0,0,0,0,0
"ENSMUSG00000000223",42,8,22,37,26,30
"ENSMUSG00000000244",16,15,21,53,73,100
"ENSMUSG00000000247",156,135,108,88,71,85
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",668,587,535,776,946,1064
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",582,443,459,478,475,691
"ENSMUSG00000000275",8432,6374,6605,11046,12357,14929
"ENSMUSG00000000276",1965,1435,1418,1374,1356,1679
"ENSMUSG00000000278",8668,6691,6451,9168,9381,11289
"ENSMUSG00000000282",2833,2155,2371,1957,1788,2523
"ENSMUSG00000000290",16739,13650,12460,20259,20917,25831
"ENSMUSG00000000295",512,477,389,311,288,320
"ENSMUSG00000000296",0,0,0,0,1,0
"ENSMUSG00000000301",90,102,84,68,46,34
"ENSMUSG00000000303",0,2,0,4,0,6
"ENSMUSG00000000305",0,0,0,1,0,0
"ENSMUSG00000000308",0,0,0,3,0,4
"ENSMUSG00000000317",1,0,0,0,0,0
"ENSMUSG00000000318",26,19,23,3,1,2
"ENSMUSG00000000320",0,0,0,0,0,0
"ENSMUSG00000000325",693,591,605,441,490,601
"ENSMUSG00000000326",6192,4836,4884,2336,1947,2574
"ENSMUSG00000000339",2045,1499,1488,1320,1195,1478
"ENSMUSG00000000340",2378,1911,1741,1383,1306,1657
