"","10844-AB-0012","10844-AB-0002","10844-AB-0009","10844-AB-0006","10844-AB-0004","10844-AB-0008"
"ENSMUSG00000000001",11147,8636,8680,7826,7137,11194
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",1586,1265,1205,1239,1089,1797
"ENSMUSG00000000031",0,0,0,0,1,0
"ENSMUSG00000000037",0,2,0,3,2,0
"ENSMUSG00000000049",0,0,0,0,1,0
"ENSMUSG00000000056",927,673,873,1078,842,1233
"ENSMUSG00000000058",3315,2716,2450,2939,3060,4250
"ENSMUSG00000000078",11011,7658,9330,6646,6407,8299
"ENSMUSG00000000085",817,478,634,765,627,1131
"ENSMUSG00000000088",4850,5280,3638,5859,5048,8583
"ENSMUSG00000000093",1,6,8,1,3,8
"ENSMUSG00000000094",0,2,0,1,4,2
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",0,0,0,0,0,0
"ENSMUSG00000000125",0,0,0,4,2,2
"ENSMUSG00000000126",75,54,84,70,77,129
"ENSMUSG00000000127",943,732,810,1048,1112,1577
"ENSMUSG00000000131",6041,3544,5097,4099,4191,6193
"ENSMUSG00000000134",2868,1745,2286,3525,3050,4784
"ENSMUSG00000000142",0,0,0,0,4,4
"ENSMUSG00000000148",1055,644,913,1120,852,1461
"ENSMUSG00000000149",3575,2528,3044,4458,3932,6474
"ENSMUSG00000000154",247,191,176,207,198,314
"ENSMUSG00000000157",0,0,0,0,0,1
"ENSMUSG00000000159",0,0,0,0,1,0
"ENSMUSG00000000167",87,60,59,95,71,115
"ENSMUSG00000000168",6728,4418,5390,4727,5295,8602
"ENSMUSG00000000171",7100,7167,5621,8609,7069,12501
"ENSMUSG00000000182",0,0,0,0,0,1
"ENSMUSG00000000183",0,0,0,0,1,0
"ENSMUSG00000000184",18507,11791,14567,17892,17396,25718
"ENSMUSG00000000194",2921,2105,2430,3456,3182,4781
"ENSMUSG00000000197",0,0,0,0,0,1
"ENSMUSG00000000202",113,99,114,12,37,51
"ENSMUSG00000000204",5,2,5,19,19,20
"ENSMUSG00000000214",0,0,0,0,0,0
"ENSMUSG00000000215",10,4,10,6,1,9
"ENSMUSG00000000216",0,0,0,0,0,0
"ENSMUSG00000000223",45,11,23,31,54,68
"ENSMUSG00000000244",33,17,21,94,121,195
"ENSMUSG00000000247",166,109,100,134,121,151
"ENSMUSG00000000248",0,0,0,0,0,1
"ENSMUSG00000000253",760,644,522,911,929,1340
"ENSMUSG00000000263",0,0,0,0,0,2
"ENSMUSG00000000266",702,429,562,545,638,882
"ENSMUSG00000000275",8187,4909,6630,13028,11745,16422
"ENSMUSG00000000276",1709,1110,1447,1665,1500,2164
"ENSMUSG00000000278",8206,6170,6454,10972,8922,13465
"ENSMUSG00000000282",2935,1826,2631,2288,2020,3112
"ENSMUSG00000000290",15664,10896,11743,23892,19451,29383
"ENSMUSG00000000295",515,656,461,409,338,638
"ENSMUSG00000000296",0,0,0,0,0,0
"ENSMUSG00000000301",131,113,73,90,81,132
"ENSMUSG00000000303",0,0,0,7,1,11
"ENSMUSG00000000305",0,0,0,2,1,0
"ENSMUSG00000000308",0,0,0,0,0,6
"ENSMUSG00000000317",0,4,0,0,0,0
"ENSMUSG00000000318",35,28,24,4,2,8
"ENSMUSG00000000320",0,0,0,0,2,1
"ENSMUSG00000000325",825,471,662,528,481,767
"ENSMUSG00000000326",7173,5828,5880,3534,3275,5546
"ENSMUSG00000000339",2073,1557,1633,1586,1439,2191
"ENSMUSG00000000340",2039,1523,1808,1568,1354,1937
"ENSMUSG00000000346",9723,7651,7520,7449,7187,10784
"ENSMUSG00000000355",1216,1267,959,1032,987,1334
"ENSMUSG00000000359",2,0,0,0,0,2
"ENSMUSG00000000365",2,0,8,0,0,1
"ENSMUSG00000000374",3869,2289,3511,3400,2898,4708
"ENSMUSG00000000378",2900,2014,2413,2749,2293,3830
"ENSMUSG00000000381",3,0,0,0,0,0
"ENSMUSG00000000384",4020,2871,3509,4011,3342,5887
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000386",1,2,1,8,5,7
"ENSMUSG00000000392",0,0,0,0,0,0
"ENSMUSG00000000394",0,0,1,0,0,0
"ENSMUSG00000000399",3402,3331,2943,4007,3479,5530
"ENSMUSG00000000402",0,0,0,0,0,0
"ENSMUSG00000000409",86,102,74,66,81,139
"ENSMUSG00000000411",0,0,0,0,0,0
"ENSMUSG00000000416",0,3,8,0,3,0
"ENSMUSG00000000420",4768,3434,3775,4612,4505,6813
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",912,680,702,706,724,1243
"ENSMUSG00000000440",1,5,0,14,18,19
"ENSMUSG00000000441",60762,27419,52330,16568,19208,27934
"ENSMUSG00000000486",32,20,42,12,17,37
"ENSMUSG00000000489",231,146,157,584,566,883
"ENSMUSG00000000530",3,0,0,70,78,111
"ENSMUSG00000000531",180,93,143,89,135,209
"ENSMUSG00000000532",1281,776,1060,1679,1829,2612
"ENSMUSG00000000538",3416,2077,3093,2367,1998,3187
"ENSMUSG00000000544",0,0,0,4,0,1
"ENSMUSG00000000552",974,615,756,3093,3080,4348
"ENSMUSG00000000555",4096,2110,3277,8970,8710,13271
"ENSMUSG00000000560",0,0,0,0,0,0
"ENSMUSG00000000561",8031,5741,6622,5207,3738,6597
"ENSMUSG00000000562",4,3,5,37,33,36
"ENSMUSG00000000563",14080,15301,11561,12622,10758,17213
"ENSMUSG00000000567",0,0,0,0,0,0
"ENSMUSG00000000568",8147,5863,8376,6695,6662,9983
"ENSMUSG00000000579",331,340,330,545,481,768
"ENSMUSG00000000581",1797,1918,1453,1382,1289,1972
"ENSMUSG00000000594",1950,1525,1363,4034,3361,5120
"ENSMUSG00000000600",2583,1504,2278,2065,1862,2663
"ENSMUSG00000000605",3235,2192,2617,2465,2097,3072
"ENSMUSG00000000606",0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",0,0,0,6,7,5
"ENSMUSG00000000628",7285,4574,6715,13683,13631,19061
"ENSMUSG00000000631",3148,1809,2674,3447,3752,5001
"ENSMUSG00000000632",0,0,0,0,0,0
"ENSMUSG00000000673",0,1,0,1,2,8
"ENSMUSG00000000682",389,462,224,322,431,583
"ENSMUSG00000000686",104,60,94,143,122,244
"ENSMUSG00000000690",3,0,0,0,0,2
"ENSMUSG00000000693",340,190,284,76,85,159
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0
"ENSMUSG00000000708",1717,1167,1451,1323,1239,1763
"ENSMUSG00000000711",6049,4091,4880,3923,3729,5408
"ENSMUSG00000000724",0,0,0,0,0,0
"ENSMUSG00000000730",67,36,28,423,378,525
"ENSMUSG00000000731",1,0,0,1,1,1
"ENSMUSG00000000732",486,282,345,312,315,480
"ENSMUSG00000000738",3112,2221,2735,2409,2092,3374
"ENSMUSG00000000739",0,0,0,0,1,0
"ENSMUSG00000000740",25766,25456,19530,24805,20444,37095
"ENSMUSG00000000743",4496,3614,3896,3965,3221,5399
"ENSMUSG00000000751",9592,6479,7365,6665,6404,10578
"ENSMUSG00000000753",26,48,13,66,49,104
"ENSMUSG00000000759",2498,1586,2041,1332,1447,2121
"ENSMUSG00000000766",0,0,0,0,0,0
"ENSMUSG00000000776",1171,767,883,1543,1259,2010
"ENSMUSG00000000782",30,33,19,22,41,69
"ENSMUSG00000000787",31367,21600,25865,26198,21603,34345
"ENSMUSG00000000791",289,235,298,442,413,652
"ENSMUSG00000000792",18,5,3,3,4,13
"ENSMUSG00000000794",49,21,34,1888,2732,2618
"ENSMUSG00000000804",2580,1552,2238,3533,3428,4429
"ENSMUSG00000000805",0,0,0,0,0,0
"ENSMUSG00000000811",657,445,600,830,817,1216
"ENSMUSG00000000817",0,0,2,0,0,3
"ENSMUSG00000000823",4245,2241,3806,3686,2979,4543
"ENSMUSG00000000826",11915,7981,9846,14524,13000,19748
