Ensembl_ID,Gene_ID,Gene_Type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(padj),-log10(p-value),DEGenes
ENSMUSG00000109941,Exosc6,protein_coding,96.1767300845072,-11.051363106993875,3.057349951748865,-5.086563058937184,3.6461052703740846e-07,1.2087734262714649e-06,5.917655096113209,6.438170796547039,DOWN
ENSMUSG00000090386,Mir99ahg,processed_transcript,30.586993744496443,-9.104931368548089,2.838967401710159,-4.207782084254954,2.5788937706377706e-05,7.125932266354796e-05,4.147158310035544,4.588566546879514,DOWN
ENSMUSG00000040219,Ttc12,protein_coding,28.247111304062585,-8.96702840191608,2.8246259480657243,-4.144638322118442,3.403504643143329e-05,9.289214215920619e-05,4.032021021864601,4.4680736525839455,DOWN
ENSMUSG00000024873,Cnih2,protein_coding,825.909113768349,-7.6532320688491335,0.3153523458916125,-24.225664931516675,1.1938168741048797e-129,1.516483716556607e-127,126.8191622486224,128.92306228682912,DOWN
ENSMUSG00000009092,Derl3,protein_coding,44.14193894555646,-7.47375216883805,1.3269593527511077,-5.453817225999925,4.9299875518284374e-08,1.7612817480665748e-07,6.754171165416523,7.307154177310811,DOWN
ENSMUSG00000097466,D430036J16Rik,antisense,10.076887683518537,-7.052479293893514,2.668601284092359,-3.268659911873247,0.0010805809689117037,0.002475742349451202,2.6062945543344402,2.9663426854821955,DOWN
ENSMUSG00000027669,Gnb4,protein_coding,9.879673929061527,-7.007498860454695,2.664997636885326,-3.250123621262161,0.0011535485185828012,0.0026335537499299544,2.5794578134144306,2.9379641342077853,DOWN
ENSMUSG00000036834,Plch1,protein_coding,9.532411829767375,-6.888040323856713,2.687729069440871,-3.173847925295216,0.0015043248613197057,0.0033825744014566008,2.4707526420956953,2.822658367039842,DOWN
ENSMUSG00000015962,1700016C15Rik,protein_coding,7.524528396849308,-6.4281981655912315,2.649329844270855,-2.994138428420447,0.002752210453246686,0.005957562961198095,2.2249313592112303,2.560318359975351,DOWN
ENSMUSG00000034127,Tspan8,protein_coding,7.033584038322954,-6.283326516747087,2.654576941049843,-2.9279808571227868,0.0034117104987871592,0.007285478155217566,2.137541939658187,2.467027828065317,DOWN
ENSMUSG00000026167,Wnt10a,protein_coding,18.006308022431746,-6.0656742290199155,1.3463636197053352,-4.456007374894458,8.350016065607427e-06,2.42462314538678e-05,4.615355753390576,5.07831268892383,DOWN
ENSMUSG00000102336,Gm37233,lincRNA,17.854269258834474,-6.039448855835513,1.374715840101262,-4.383827468208965,1.1661214064249912e-05,3.3335178968453235e-05,4.477097208910908,4.933256232256548,DOWN
